id,quality
1257,6.624869572243798
6409,5.752614876184907
136,4.964763488171716
1631,6.4232439703131625
6084,5.4524993620876
5434,5.0182428424497125
1094,5.070411695005117
5146,6.466341755090969
5921,6.570166592599694
1076,5.925376824124056
616,5.42389318134661
4336,6.410236765935938
219,5.959978760773533
6403,5.7525941749781655
2397,6.686172189273346
5240,5.295678246871672
3696,5.816790929765732
1070,6.4984268577871624
5890,5.591367322368406
1270,5.240169349468976
4641,5.362657918472415
5299,6.291672870392995
2494,5.009441527578181
5276,7.018694831927547
332,5.403544913179399
3671,4.757093694770697
6367,5.632347236584618
5681,5.955055953624198
1741,5.005563600253952
4715,6.18560570499074
1114,6.031335641676652
4105,5.92669547898271
825,5.6446809811815815
88,6.291535816373058
4551,6.369912209647843
227,5.229431194870797
1369,6.388178136287321
3722,6.34796005890415
2341,6.179367092272393
4882,6.489394053375996
2382,5.175837083108661
4075,6.279845049893563
687,4.996157754835172
2350,5.245827095288302
2634,5.248332504850195
5751,5.024902797559383
5934,5.490678656336659
6286,5.120167677199225
6004,5.299217744296341
4696,6.179607415975557
5628,5.905036080789596
3066,5.289084463260625
6267,5.286862862385174
3950,5.431944549416862
1834,5.463960783766224
848,6.817413918397609
5852,5.781753708401665
3034,5.588572352579607
1074,6.08197455798425
1184,4.973036116842792
3788,6.474520458771149
3267,6.328120610808462
5640,5.487661676367715
2076,5.36625292552514
4634,4.626856855974154
2075,5.986411883852092
5741,6.162651262059647
5008,6.262698055330597
1485,5.193774962470448
2010,5.3684930542155875
1899,5.038850574071136
3514,5.450096073346057
5819,5.073000319959977
5040,6.027102842773942
3998,4.70310317505149
6425,6.028222727887485
1733,5.0717574446392835
2925,5.930502039461732
1528,5.592637388747077
2332,5.924102519279037
3492,4.998659934212613
6177,4.982726461281896
5338,6.225993428787749
2599,5.624853283318075
512,5.100887446743718
5118,5.538808539246169
4024,6.849255356332343
1095,4.9663518764323715
965,5.817291373565725
1163,5.148996563460969
5773,5.678447088719183
4154,4.98195019045037
2968,5.0788765883569305
2294,6.0685526333434545
2652,5.811781367911955
4632,5.024902797559383
4585,5.491014240528351
754,5.176535567434801
3471,6.705469991149117
3506,4.983558302280025
1513,5.706604198136233
210,6.079152442162519
664,4.9193286391129405
6414,5.867965698446502
2418,5.028353059995048
2468,6.325002817183101
1127,6.204431041444092
4820,6.148857926822124
495,5.899446758913195
6256,5.019716887076761
2732,5.031635742422164
3053,5.97425791906335
2954,5.227716951208086
3663,4.889241387505285
4410,5.11400663807304
2153,4.904668255299677
4691,5.968432761005754
2971,5.955385285907328
2616,5.059437143315108
102,5.027585836602876
1610,5.0893881609184
3766,5.692239949013107
3072,6.002001574672725
2951,5.562628450275895
2087,5.190749020067772
4593,5.664974727620775
6184,5.040724526090363
3347,5.621951643548119
2806,5.84995396326908
3083,5.487234375936193
1815,5.294598373491727
4814,5.2134403715803135
6316,5.873149245196531
6480,5.686281881230077
6471,5.087583171125145
3173,6.118364828869121
3539,5.064314127877687
1247,5.493465946748195
